"ID","WCAG SC","Level","Task","Main Role","Primary Ownership","Secondary Ownership","Contributor","Status"
"FRM-007","1.3.1","A","Instructions and messages are programmatically conveyed to assistive technologies.","Development","Front-End Development","User Experience (UX) Design","none","Requirement"
"FRM-008","1.3.1","A","Use of native HTML controls are prioritized over other methods.","Development","Front-End Development","none","none","Best Practice"
"FRM-009","1.3.1","A","Required fields are programmatically conveyed as such to assistive technologies.","Development","Front-End Development","User Experience (UX) Design","none","Best Practice"
"FRM-010","1.3.1","A","Instructions on how to use forms are programmatically conveyed to assistive technologies.","Development","Front-End Development","User Experience (UX) Design","none","Requirement"
"FRM-013","1.3.5","AA","Data entry fields using the autocomplete attribute for previously entered information are set to the appropriate value.","Development","Front-End Development","User Experience (UX) Design","none","Requirement"
"FRM-014","1.3.6","AAA","The purpose of user interface components, icons, and regions is implemented using markup languages, in a way that can be programmatically determined.","Development","Front-End Development","User Experience (UX) Design","none","Requirement"
"FRM-015","2.4.3","A","Keyboard focus is dynamically moved to the error message when errors are returned.","Development","Front-End Development","User Experience (UX) Design","none","Best Practice"
"FRM-019","3.2.2","A","Event handlers are not used to automatically trigger a change of context upon input that would otherwise require explicit user action unless previously communicated.","Development","Front-End Development","User Experience (UX) Design","none","Requirement"
"FRM-028","3.3.2","A","Form controls are coded to have persistent visual labels.","Development","Front-End Development","User Experience (UX) Design","Visual Design","Requirement"
"FRM-034","3.3.2","AA","Instructions intending to prevent errors are provided in text and available.","Development","Front-End Development","User Experience (UX) Design","Content Authoring","Best Practice"
"CSS-002","1.1.1","A","The meaning of icon fonts is determined programmatically using the aria-label attribute (or other equivalent means).","Development","Front-End Development","Content Authoring","none","Requirement"
"CSS-003","1.1.1","A","Icon fonts whose default accessible name do not represent what the icon is, are overwritten using an aria-hidden attribute (or other equivalent means).","Development","Front-End Development","none","none","Requirement"
"CSS-004","1.1.1","A","Background images identified as decorative are implemented as such.","Development","Front-End Development","Visual Design","none","Requirement"
"CSS-005","1.3.1","A","CSS pseudo-selectors such as :before and :after are not used to integrate informative content.","Development","Front-End Development","none","none","Requirement"
"CSS-007","1.3.3","A","Users relying on High Contrast themes don't lose information as a result of doing so.","Development","Front-End Development","Visual Design","none","Requirement"
"CSS-014","1.4.4","AA","CSS techniques are used to ensure that content doesn't overflow, overlap or get truncated as a result of increasing the text size.","Development","Front-End Development","Visual Design","User Experience (UX) Design","Best Practice"
"CSS-015","1.4.5","AA","CSS background sprites don't include images of text, unless equivalent text alternatives are also provided as part of the HTML.","Development","Front-End Development","Content Authoring, Visual Design","none","Requirement"
"CSS-022","2.4.7","AA","The CSS outline property of objects that receive keyboard focus are not set to zero or none.","Development","Front-End Development","Visual Design","none","Best Practice"
"NAV-012","2.4.1","A","Skip links and similar mechanisms point to the expected destination.","Development","Front-End Development","User Experience (UX) Design","none","Requirement"
"NAV-013","2.4.3","A","All active elements receive focus in a logical and predictable order that is prescribed by the visual presentation.","Development","Front-End Development","User Experience (UX) Design","User Experience (UX), Design Visual Design","Requirement"
"NAV-015","2.4.3","A","Objects that are not actionable are not part of the tabbing order.","Development","Front-End Development","User Experience (UX) Design","none","Requirement"
"NAV-016","2.4.3","A","Focus is sent back to the initiating point when modal dialogs and controls are dismissed.","Development","Front-End Development","User Experience (UX) Design","none","Requirement"
"NAV-017","2.4.3","A","Event handlers do not unexpectedly send the focus somewhere else on the page.","Development","Front-End Development","none","none","Requirement"
"NAV-019","2.4.4","A","Links are marked up using the anchor element and have a valid href attribute value (or use other equivalent means).","Development","Front-End Development","none","none","Requirement"
"NAV-031","3.2.5","AAA","Links that open new windows indicate they will do so, either as part of the link text, or using aria-label or equivalent means.","Development","Front-End Development","Content Authoring","none","Requirement"
"TAB-001","1.3.1","A","Tables are only to be used to lay out tabular information or data.","Development","Front-End Development","User Experience (UX) Design","none","Requirement"
"TAB-004","1.3.1","A","Tabular data and corresponding header cells for that data are part of the same table.","Development","Front-End Development","User Experience (UX) Design","none","Requirement"
"TAB-005","1.3.1","A","Header cells for rows are marked up using THEAD elements.","Development","Front-End Development","none","none","Requirement"
"TAB-006","1.3.1","A","Header cells for columns are marked up using TH elements.","Development","Front-End Development","none","none","Requirement"
"TAB-007","1.3.1","A","The relationship between table header rows and table header columns with data cells in simple data tables is provided through the SCOPE attributes.","Development","Front-End Development","User Experience (UX) Design","none","Requirement"
"TAB-008","1.3.1","A","The relationship between table header rows and table header columns with data cells in complex data tables is provided through the HEADERS and ID attributes.","Development","Front-End Development","User Experience (UX) Design","none","Requirement"
"TAB-009","1.3.1","A","Caption elements are used to associate caption information with data tables.","Development","Front-End Development","none","none","Requirement"
"TAB-012","1.3.1","A","Tables are not used for layout purposes.","Development","Front-End Development","none","none","Requirement"
"TAB-013","1.3.1","A","Tables are not used to layout lists.","Development","Front-End Development","none","none","Requirement"
"TAB-014","1.3.1","A","Caption elements, aria-labelledby attributes or other equivalent means are used to explain the structure of data tables.","Development","Front-End Development","none","none","Best Practice"
"TAB-016","1.3.2","A","The programmatic order of the table content matches the intended reading order, so not to affect its meaning.","Development","Front-End Development","User Experience (UX) Design","none","Requirement"
"ANM-023","1.4.2","A","Volume controls for page-level multimedia files are independent from general computer audio controls.","Development","Front-End Development","User Experience (UX) Design","none","Requirement"
"ANM-025","1.4.2","A","Audio content that automatically starts on page load lasts no longer than 3 seconds.","Development","Front-End Development","User Experience (UX) Design","none","Best Practice"
"ANM-029","2.1.1","A","Multimedia player controls can be fully operated using only the keyboard.","Development","Front-End Development","User Experience (UX) Design","none","Best Practice"
"ANM-036","2.3.3","AAA","Animation features that create the illusion of movement support prefers-reduced-motion (or other equivalent means).","Development","Front-End Development","User Experience (UX) Design","none","Requirement"
"ANM-037","4.1.2","A","Information conveyed by multimedia player controls are programmatically announced through assistive technologies.","Development","Front-End Development","User Experience (UX) Design","","Best Practice"
"SCT-003","1.3.1","A","Proper markup is used to render emphasized, bolded text and other stylistic or presentational effects.","Development","Front-End Development","none","none","Requirement"
"SCT-004","1.3.1","A","Proper markup is used to structure quotes, blockquotes and citations.","Development","Front-End Development","Content Authoring","none","Requirement"
"SCT-005","1.3.1","A","Heading markup is only used for text which acts as a section heading.","Development","Front-End Development","User Experience (UX) Design","none","Requirement"
"SCT-006","1.3.1","A","Heading markup is not used for formatting effects.","Development","Front-End Development","none","none","Requirement"
"SCT-008","1.3.2","A","The intended reading order of the content remains logical when CSS and images are turned off.","Development","Front-End Development","User Experience (UX) Design","none","Requirement"
"SCT-009","1.3.2","A","The source code order reflects the intended reading order of the document.","Development","Front-End Development","User Experience (UX) Design","none","Requirement"
"SCT-015","1.4.5","AA","Mathematical formulas are marked up using MathML.","Development","Front-End Development","Content Authoring","none","Best Practice"
"SCT-018","3.1.1","A","The primary language used in the document is properly identified using the lang attribute.","Development","Front-End Development","none","none","Requirement"
"SCT-023","3.1.4","AAA","Abbreviations are programmatically associated with their definition.","Development","Front-End Development","none","none","Requirement"
"DYN-004","4.1.3","AA","Status, toast, or similar messages are programmatically determined through WAI-ARIA roles or properties, so they can be presented to assistive technology users without receiving focus.","Development","Front-End Development","User Experience (UX) Design","none","Requirement"
